Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,BE,NULL,27318,20793
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,173,129
455,455,BE,NULL,135,111
460,460,BE,NULL,146,104
465,465,BE,NULL,138,146
470,470,BE,NULL,122,90
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,15,13
Horse Heaven,1023,BE,NULL,18,17
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,45,27
Paterson,1240,BE,NULL,10,9
Roe(*),1241,BE,NULL,0,0
Rattlesnake,1290,BE,NULL,35,30
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,21,18
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,34,24
Cook,1400,BE,NULL,5,11
Dot,1402,BE,NULL,100,41
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,29,17
Reata,1406,BE,NULL,127,111
Elk,1407,BE,NULL,0,0
Griffin,1408,BE,NULL,5,4
Goose Ridge,1409,BE,NULL,38,35
Cone,1412,BE,NULL,99,72
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,32,36
Badger,1420,BE,NULL,138,94
Chandler,1422,BE,NULL,25,22
W1 - P645,1645,BE,NULL,40,24
W1 - P646,1646,BE,NULL,63,40
W1 - P650,1650,BE,NULL,198,127
W1 - P651,1651,BE,NULL,36,33
W1 - P655,1655,BE,NULL,123,57
W1 - P656,1656,BE,NULL,77,63
W1 - P657,1657,BE,NULL,133,87
W1 - P660,1660,BE,NULL,166,105
W1-P663,1663,BE,NULL,123,120
W1 - P664,1664,BE,NULL,262,201
W1 - P665,1665,BE,NULL,155,189
W1 - P667,1667,BE,NULL,90,51
W1 - P668,1668,BE,NULL,242,207
W1 - P669,1669,BE,NULL,99,79
W1 - P670,1670,BE,NULL,141,110
W1 - P674,1674,BE,NULL,122,89
W1 - P675,1675,BE,NULL,69,63
W1 - P676,1676,BE,NULL,218,146
W1 - P680,1680,BE,NULL,200,149
W1 - P681,1681,BE,NULL,130,124
W1 - P682,1682,BE,NULL,223,190
W1 - P683,1683,BE,NULL,152,120
W1 - P685,1685,BE,NULL,170,174
W1 - P686,1686,BE,NULL,154,145
W1 - P690,1690,BE,NULL,194,158
W1 - P691,1691,BE,NULL,27,18
Buena Vista,2401,BE,NULL,255,185
Prosser North,2403,BE,NULL,173,105
South,2404,BE,NULL,130,98
Riverside,2405,BE,NULL,179,122
Walnut Grove,2406,BE,NULL,118,73
Susie,2407,BE,NULL,16,19
Apricot,2408,BE,NULL,38,30
Bobbie,2409,BE,NULL,0,0
W2 - P560,2560,BE,NULL,108,65
W2 - P565,2565,BE,NULL,86,34
W2 - P570,2570,BE,NULL,159,71
W2-P574,2574,BE,NULL,89,63
W2 - P575,2575,BE,NULL,73,48
W2 - P580,2580,BE,NULL,98,74
W2 - P585,2585,BE,NULL,92,51
W2 - P590,2590,BE,NULL,121,65
W2 - P595,2595,BE,NULL,131,87
W2 - P600,2600,BE,NULL,87,56
W2 - P601,2601,BE,NULL,94,49
W2 - P605,2605,BE,NULL,120,86
W2 - P610,2610,BE,NULL,116,76
W2 - P615,2615,BE,NULL,57,30
W2 - P620,2620,BE,NULL,129,57
W2 - P625,2625,BE,NULL,189,101
W2 - P626,2626,BE,NULL,90,66
W2 - P630,2630,BE,NULL,146,106
W2 - P633,2633,BE,NULL,140,153
W2 - P634,2634,BE,NULL,199,160
W2 - P635,2635,BE,NULL,197,125
W2 - P636,2636,BE,NULL,123,168
W2 - P637,2637,BE,NULL,182,139
W2 - P638,2638,BE,NULL,173,140
W2 - P639,2639,BE,NULL,113,66
W2 - P640,2640,BE,NULL,133,111
W2 - P641,2641,BE,NULL,101,86
Benton North,3001,BE,NULL,249,119
Benton South,3002,BE,NULL,182,74
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,180,92
Kiona,3102,BE,NULL,280,166
Roza,3103,BE,NULL,0,0
Yakima(*),3104,BE,NULL,0,0
Demoss,3105,BE,NULL,14,8
Edgewater,3106,BE,NULL,141,86
Cherry,3107,BE,NULL,208,100
W3 - P500,3500,BE,NULL,44,17
W3 - P505,3505,BE,NULL,134,66
W3 - P510,3510,BE,NULL,94,44
W3-P511,3511,BE,NULL,17,8
W3 - P515,3515,BE,NULL,88,62
W3-P516,3516,BE,NULL,10,4
W3 - P520,3520,BE,NULL,73,31
W3 - P525,3525,BE,NULL,111,66
W3 - P530,3530,BE,NULL,109,47
W3 - P535,3535,BE,NULL,92,33
W3 - P540,3540,BE,NULL,164,102
W3 - P545,3545,BE,NULL,102,48
W3 - P550,3550,BE,NULL,165,136
W3 - P551,3551,BE,NULL,169,83
W3 - P552,3552,BE,NULL,168,125
W3 - P553,3553,BE,NULL,145,117
W3 - P555,3555,BE,NULL,139,81
W3 - P556,3556,BE,NULL,223,136
W3 - P557,3557,BE,NULL,162,142
W3 - P558,3558,BE,NULL,223,154
W3 - P559,3559,BE,NULL,211,145
W3 - P560,3560,BE,NULL,75,70
WR 1,4001,BE,NULL,106,55
WR 2,4002,BE,NULL,119,47
WR 3,4003,BE,NULL,63,73
WR 4,4004,BE,NULL,222,183
WR 5,4005,BE,NULL,79,34
WR 6,4006,BE,NULL,246,157
WR 7,4007,BE,NULL,168,182
WR 8,4008,BE,NULL,208,169
WR 9,4009,BE,NULL,122,98
WR 10,4010,BE,NULL,15,14
WR 11,4011,BE,NULL,150,133
WR12,4012,BE,NULL,204,163
WR13,4013,BE,NULL,148,77
WR14,4014,BE,NULL,201,195
WR15,4015,BE,NULL,157,94
WR 16,4016,BE,NULL,133,65
WR 17,4017,BE,NULL,117,98
Enterprise,4101,BE,NULL,105,98
Harrington,4102,BE,NULL,188,157
Red Mountain,4103,BE,NULL,150,108
Cascade,5602,BE,NULL,162,85
Clements,5603,BE,NULL,16,46
Finley,5606,BE,NULL,292,128
Hawthorne,5608,BE,NULL,110,60
Hedges,5609,BE,NULL,146,76
Jewel,5613,BE,NULL,34,7
Kennewick Valley,5615,BE,NULL,186,78
Umatilla,5619,BE,NULL,74,51
Vista,5621,BE,NULL,80,44
Washington,5622,BE,NULL,72,34
Yellowstone,5623,BE,NULL,105,55
Oak,5624,BE,NULL,105,41
Celilo,5625,BE,NULL,174,151
Randy,5626,BE,NULL,89,40
El Rancho,5627,BE,NULL,229,202
Mills,5628,BE,NULL,244,119
Ivey,5629,BE,NULL,146,60
Canyon,5630,BE,NULL,139,127
Miller(*),5631,BE,NULL,0,0
Candy(*),5632,BE,NULL,0,0
French,5633,BE,NULL,18,18
Shockley,5634,BE,NULL,2,3
Liberty(*),5635,BE,NULL,0,0
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,10,7
White Bluffs,5638,BE,NULL,236,161
(none),5639,BE,NULL,142,117
105,6105,BE,NULL,114,63
110,6110,BE,NULL,111,127
115,6115,BE,NULL,92,98
120,6120,BE,NULL,126,158
125,6125,BE,NULL,78,106
130,6130,BE,NULL,98,147
135,6135,BE,NULL,95,133
140,6140,BE,NULL,87,129
145,6145,BE,NULL,181,178
150,6150,BE,NULL,185,174
151,6151,BE,NULL,226,247
155,6155,BE,NULL,203,166
160,6160,BE,NULL,153,173
165,6165,BE,NULL,114,83
170,6170,BE,NULL,129,79
175,6175,BE,NULL,225,212
180,6180,BE,NULL,83,68
185,6185,BE,NULL,77,45
186,6186,BE,NULL,56,49
190,6190,BE,NULL,118,157
